Region,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Latin America and the Caribbean,Mexico,5.08,7.04,11.9,12.9,14.1,17.21,19.52,20.81,21.71,26.34,31.05,37.18,39.75,43.46,44.39,57.43,59.54,63.85,65.77,70.07,71.97
Arab Region,Morocco,0.69,1.37,2.37,3.35,11.61,15.08,19.77,21.5,33.1,41.3,52.0,46.11,55.42,56.0,56.8,57.08,58.27,61.76,64.8,74.38,84.12
Africa,Mozambique,0.11,0.16,0.26,0.42,0.68,0.85,0.84,0.91,1.56,2.68,4.17,4.6,5.0,5.5,6.0,6.5,7.0,7.8,10.4,15.1,15.1
Africa,Namibia,1.64,2.42,2.63,3.36,3.8,4.01,4.4,4.84,5.33,6.5,11.6,12.0,12.94,13.9,14.84,25.69,31.03,36.84,40.0,40.5,40.5
Western Europe and North America,Netherlands,43.98,49.37,61.29,64.35,68.52,81.0,83.7,85.82,87.42,89.63,90.72,91.42,92.86,93.96,91.67,91.72,90.41,93.2,91.89,93.29,91.33
Africa,Nigeria,0.06,0.09,0.32,0.56,1.29,3.55,5.55,6.77,8.0,9.3,11.5,13.8,16.1,19.1,21.0,24.5,25.67,28.0,31.9,33.6,33.6
Central and Eastern Europe,North Macedonia,2.49,3.47,17.33,19.07,24.44,26.45,28.62,36.3,46.04,51.77,51.9,56.7,57.45,65.24,68.06,70.38,72.16,74.52,79.17,81.41,81.41
Western Europe and North America,Norway,52.0,64.0,72.84,78.13,77.69,81.99,82.55,86.93,90.57,92.08,93.39,93.49,94.65,95.05,96.3,96.81,97.3,96.36,96.49,98.0,97.0
Arab Region,Oman,3.52,5.89,6.87,7.26,6.76,6.68,8.3,16.68,20.0,26.8,35.83,48.0,60.0,66.45,70.22,73.53,76.85,80.19,85.5,90.3,95.23
Asia and the Pacific,Pakistan,,1.32,2.58,5.04,6.16,6.33,6.5,6.8,7.0,7.5,8.0,8.0,8.1,9.0,10.0,11.0,12.39,13.78,15.34,17.07,17.07
Arab Region,Palestine,1.11,1.84,3.1,4.13,4.4,16.01,18.41,21.18,24.36,32.23,37.4,41.08,43.4,46.6,53.67,56.7,59.9,63.3,64.4,70.62,70.62
Latin America and the Caribbean,Panama,6.55,7.27,8.52,9.99,11.14,11.48,17.35,22.29,33.82,39.08,40.1,42.7,40.3,44.03,44.92,51.21,54.0,59.95,61.81,63.63,63.63
Latin America and the Caribbean,Paraguay,0.75,1.1,1.79,2.11,3.45,7.91,7.96,11.21,14.27,18.9,19.8,24.76,29.34,36.9,43.0,49.72,53.4,61.08,64.99,68.52,74.52
Latin America and the Caribbean,Peru,3.08,7.58,8.97,11.6,14.1,17.1,20.7,25.2,30.57,31.4,34.77,36.01,38.2,39.2,40.2,40.85,45.46,50.45,55.05,59.95,65.25
Central and Eastern Europe,Poland,7.29,9.9,21.15,24.87,32.53,38.81,44.58,48.6,53.13,58.97,62.32,61.95,62.31,62.85,66.6,68.0,73.3,75.99,77.54,80.44,86.84
Western Europe and North America,Portugal,16.43,18.09,19.37,29.67,31.78,34.99,38.01,42.09,44.13,48.27,53.3,55.25,60.34,62.1,64.59,68.63,70.42,73.79,74.66,75.35,78.26
Latin America and the Caribbean,Puerto Rico,10.47,15.63,17.55,19.71,22.13,23.4,25.44,27.86,38.0,41.5,45.3,48.0,69.0,69.0,66.235,63.47,68.64,68.74,70.86,77.74,77.74
Arab Region,Qatar,4.86,6.17,10.23,19.24,20.7,24.73,28.97,37.0,44.3,53.1,69.0,69.0,69.3,85.3,91.49,92.88,95.12,97.39,99.65,99.65,99.65
Central and Eastern Europe,Romania,3.61,4.54,6.58,8.9,15.0,21.5,24.66,28.3,32.42,36.6,39.93,40.01,45.88,49.76,54.08,55.76,59.5,63.75,70.68,73.66,78.46
Central and Eastern Europe,Russian Federation,1.98,2.94,4.13,8.3,12.86,15.23,18.02,24.66,26.83,29.0,43.0,49.0,63.8,67.97,70.52,70.1,73.09,76.01,80.86,82.64,84.99
Africa,Rwanda,0.06,0.24,0.29,0.36,0.43,0.56,1.34,2.12,4.5,7.7,8.0,7.0,8.02,9.0,10.6,18.0,20.0,21.77,25.0,26.0,26.0
Africa,Sao Tome and Principe,4.64,6.31,7.58,10.16,13.32,13.76,14.18,14.59,15.48,16.41,18.75,20.16,21.57,23.0,24.41,25.82,28.0,29.93,31.9,32.0,32.0
Arab Region,Saudi Arabia,2.21,4.68,6.38,8.0,10.23,12.71,19.46,30.0,36.0,38.0,41.0,47.5,54.0,60.5,64.71,69.62,74.88,94.18,93.31,95.72,97.86
Africa,Senegal,0.4,0.98,1.01,2.1,4.39,4.79,5.61,6.89,7.12,7.5,8.0,9.8,10.8,13.1,17.7,21.7,25.66,29.64,35.3,39.5,39.5
